dep_iata,airline_iata,flight_iata,dep_time,dep_estimated,dep_actual,arr_iata,arr_time,arr_estimated,arr_actual,status,dep_delayed,arr_delayed
MIA,BA,BA5036,2023-10-24 13:53,2023-10-24 13:54,2023-10-24 13:54,YYZ,2023-10-24 17:08,2023-10-24 17:10,N/A,active,1,2
MIA,AA,AA1803,2023-10-24 13:48,2023-10-24 13:57,2023-10-24 13:57,DCA,2023-10-24 16:25,2023-10-24 16:32,N/A,active,9,7
MIA,MQ,MQ3631,2023-10-24 14:02,2023-10-24 13:58,2023-10-24 13:58,IAH,2023-10-24 15:56,2023-10-24 15:43,N/A,active,,
MIA,QR,QR2393,2023-10-24 14:02,2023-10-24 13:58,2023-10-24 13:58,IAH,2023-10-24 15:56,2023-10-24 15:43,N/A,active,,
MIA,CM,CM410,2023-10-24 14:07,2023-10-24 13:58,2023-10-24 13:58,PTY,2023-10-24 16:16,2023-10-24 16:04,N/A,active,,
MIA,AA,AA3631,2023-10-24 14:02,2023-10-24 13:58,2023-10-24 13:58,IAH,2023-10-24 15:56,2023-10-24 15:43,N/A,active,,
MIA,BA,BA5028,2023-10-24 14:02,2023-10-24 13:58,2023-10-24 13:58,SJU,2023-10-24 16:43,2023-10-24 16:29,N/A,active,,
MIA,AA,AA2431,2023-10-24 14:02,2023-10-24 13:58,2023-10-24 13:58,SJU,2023-10-24 16:43,2023-10-24 16:29,N/A,active,,
MIA,VS,VS5224,2023-10-24 14:07,2023-10-24 14:02,2023-10-24 14:02,ATL,2023-10-24 16:03,2023-10-24 15:52,N/A,active,,
MIA,DL,DL1332,2023-10-24 14:07,2023-10-24 14:02,2023-10-24 14:02,ATL,2023-10-24 16:03,2023-10-24 15:52,N/A,active,,
MIA,LA,LA6511,2023-10-24 14:07,2023-10-24 14:02,2023-10-24 14:02,ATL,2023-10-24 16:03,2023-10-24 15:52,N/A,active,,
MIA,WS,WS7496,2023-10-24 14:07,2023-10-24 14:02,2023-10-24 14:02,ATL,2023-10-24 16:03,2023-10-24 15:52,N/A,active,,
MIA,AZ,AZ3257,2023-10-24 14:07,2023-10-24 14:02,2023-10-24 14:02,ATL,2023-10-24 16:03,2023-10-24 15:52,N/A,active,,
MIA,AF,AF2452,2023-10-24 14:07,2023-10-24 14:02,2023-10-24 14:02,ATL,2023-10-24 16:03,2023-10-24 15:52,N/A,active,,
MIA,AM,AM4492,2023-10-24 14:07,2023-10-24 14:02,2023-10-24 14:02,ATL,2023-10-24 16:03,2023-10-24 15:52,N/A,active,,
MIA,KL,KL5705,2023-10-24 14:07,2023-10-24 14:02,2023-10-24 14:02,ATL,2023-10-24 16:03,2023-10-24 15:52,N/A,active,,
MIA,QR,QR2422,2023-10-24 13:43,2023-10-24 14:05,2023-10-24 14:05,ORD,2023-10-24 16:05,2023-10-24 16:26,N/A,active,22,21
MIA,RJ,RJ7235,2023-10-24 13:43,2023-10-24 14:05,2023-10-24 14:05,ORD,2023-10-24 16:05,2023-10-24 16:26,N/A,active,22,21
MIA,AS,AS6178,2023-10-24 13:43,2023-10-24 14:05,2023-10-24 14:05,ORD,2023-10-24 16:05,2023-10-24 16:26,N/A,active,22,21
MIA,AA,AA608,2023-10-24 13:43,2023-10-24 14:05,2023-10-24 14:05,ORD,2023-10-24 16:05,2023-10-24 16:26,N/A,active,22,21
MIA,IB,IB4340,2023-10-24 14:07,2023-10-24 14:08,2023-10-24 14:08,PHL,2023-10-24 16:56,2023-10-24 16:54,N/A,active,1,
MIA,EI,EI7273,2023-10-24 14:07,2023-10-24 14:08,2023-10-24 14:08,PHL,2023-10-24 16:56,2023-10-24 16:54,N/A,active,1,
MIA,MH,MH9489,2023-10-24 14:07,2023-10-24 14:08,2023-10-24 14:08,PHL,2023-10-24 16:56,2023-10-24 16:54,N/A,active,1,
MIA,AA,AA581,2023-10-24 14:07,2023-10-24 14:08,2023-10-24 14:08,PHL,2023-10-24 16:56,2023-10-24 16:54,N/A,active,1,
MIA,BA,BA5002,2023-10-24 14:07,2023-10-24 14:08,2023-10-24 14:08,PHL,2023-10-24 16:56,2023-10-24 16:54,N/A,active,1,
MIA,AV,AV311,2023-10-24 14:10,2023-10-24 14:09,2023-10-24 14:09,SAL,2023-10-24 14:55,N/A,N/A,active,,
MIA,UA,UA6696,2023-10-24 14:10,2023-10-24 14:09,2023-10-24 14:09,SAL,2023-10-24 14:55,N/A,N/A,active,,
MIA,IB,IB7805,2023-10-24 14:10,2023-10-24 14:09,2023-10-24 14:09,SAL,2023-10-24 14:55,N/A,N/A,active,,
MIA,TA,TA311,2023-10-24 14:10,2023-10-24 14:09,2023-10-24 14:09,SAL,2023-10-24 14:55,N/A,N/A,active,,
MIA,AC,AC6142,2023-10-24 14:10,2023-10-24 14:09,2023-10-24 14:09,SAL,2023-10-24 14:55,N/A,N/A,active,,
MIA,DL,DL1789,2023-10-24 13:58,2023-10-24 14:12,2023-10-24 14:12,HAV,2023-10-24 15:15,2023-10-24 15:29,N/A,active,14,14
MIA,AA,AA3545,2023-10-24 14:15,2023-10-24 14:14,2023-10-24 14:14,MSY,2023-10-24 15:23,2023-10-24 15:13,N/A,active,,
MIA,BA,BA4993,2023-10-24 14:15,2023-10-24 14:14,2023-10-24 14:14,MSY,2023-10-24 15:23,2023-10-24 15:13,N/A,active,,
MIA,CM,CM481,2023-10-24 14:19,2023-10-24 14:14,2023-10-24 14:14,PTY,2023-10-24 16:28,2023-10-24 16:23,N/A,active,,
MIA,MQ,MQ3545,2023-10-24 14:15,2023-10-24 14:14,2023-10-24 14:14,MSY,2023-10-24 15:23,2023-10-24 15:13,N/A,active,,
MIA,BA,BA5008,2023-10-24 14:20,2023-10-24 14:18,2023-10-24 14:18,PNS,2023-10-24 15:08,2023-10-24 15:03,N/A,active,,
MIA,AA,AA3387,2023-10-24 14:20,2023-10-24 14:18,2023-10-24 14:18,PNS,2023-10-24 15:08,2023-10-24 15:03,N/A,active,,
MIA,MQ,MQ3387,2023-10-24 14:20,2023-10-24 14:18,2023-10-24 14:18,PNS,2023-10-24 15:08,2023-10-24 15:03,N/A,active,,
MIA,WN,WN3985,2023-10-24 14:25,2023-10-24 14:19,2023-10-24 14:19,STL,2023-10-24 16:15,2023-10-24 16:07,N/A,active,,
MIA,UP,UP224,2023-10-24 14:20,N/A,N/A,NAS,2023-10-24 15:20,N/A,N/A,scheduled,,
MIA,F9,F91772,2023-10-24 14:30,2023-10-24 14:21,2023-10-24 14:21,CVG,2023-10-24 17:10,2023-10-24 17:05,N/A,active,,
MIA,BA,BA4787,2023-10-24 14:28,2023-10-24 14:23,2023-10-24 14:23,JAX,2023-10-24 15:47,2023-10-24 15:42,N/A,active,,
MIA,MQ,MQ3925,2023-10-24 13:45,2023-10-24 14:23,2023-10-24 14:23,TPA,2023-10-24 14:46,2023-10-24 15:23,N/A,active,38,37
MIA,MQ,MQ3635,2023-10-24 14:28,2023-10-24 14:23,2023-10-24 14:23,JAX,2023-10-24 15:47,2023-10-24 15:42,N/A,active,,
MIA,AA,AA3635,2023-10-24 14:28,2023-10-24 14:23,2023-10-24 14:23,JAX,2023-10-24 15:47,2023-10-24 15:42,N/A,active,,
MIA,AA,AA3925,2023-10-24 13:45,2023-10-24 14:23,2023-10-24 14:23,TPA,2023-10-24 14:46,2023-10-24 15:23,N/A,active,38,37
MIA,MH,MH9452,2023-10-24 14:24,2023-10-24 14:25,2023-10-24 14:25,JFK,2023-10-24 17:24,2023-10-24 17:27,N/A,active,1,3
MIA,BA,BA4965,2023-10-24 14:24,2023-10-24 14:25,2023-10-24 14:25,JFK,2023-10-24 17:24,2023-10-24 17:27,N/A,active,1,3
MIA,AT,AT5126,2023-10-24 14:24,2023-10-24 14:25,2023-10-24 14:25,JFK,2023-10-24 17:24,2023-10-24 17:27,N/A,active,1,3
MIA,IB,IB4734,2023-10-24 14:24,2023-10-24 14:25,2023-10-24 14:25,JFK,2023-10-24 17:24,2023-10-24 17:27,N/A,active,1,3
MIA,B6,B64093,2023-10-24 14:24,2023-10-24 14:25,2023-10-24 14:25,JFK,2023-10-24 17:24,2023-10-24 17:27,N/A,active,1,3
MIA,QR,QR2401,2023-10-24 14:24,2023-10-24 14:25,2023-10-24 14:25,JFK,2023-10-24 17:24,2023-10-24 17:27,N/A,active,1,3
MIA,AA,AA512,2023-10-24 14:24,2023-10-24 14:25,2023-10-24 14:25,JFK,2023-10-24 17:24,2023-10-24 17:27,N/A,active,1,3
MIA,RJ,RJ7646,2023-10-24 14:24,2023-10-24 14:25,2023-10-24 14:25,JFK,2023-10-24 17:24,2023-10-24 17:27,N/A,active,1,3
MIA,BA,BA4912,2023-10-24 14:30,2023-10-24 14:27,2023-10-24 14:27,BNA,2023-10-24 15:54,2023-10-24 15:44,N/A,active,,
MIA,AA,AA2587,2023-10-24 14:30,2023-10-24 14:27,2023-10-24 14:27,BNA,2023-10-24 15:54,2023-10-24 15:44,N/A,active,,
MIA,AA,AA3620,2023-10-24 14:33,2023-10-24 14:28,2023-10-24 14:28,CHS,2023-10-24 16:19,2023-10-24 16:09,N/A,active,,
MIA,MQ,MQ3620,2023-10-24 14:33,2023-10-24 14:28,2023-10-24 14:28,CHS,2023-10-24 16:19,2023-10-24 16:09,N/A,active,,
MIA,BA,BA4922,2023-10-24 14:33,2023-10-24 14:28,2023-10-24 14:28,CHS,2023-10-24 16:19,2023-10-24 16:09,N/A,active,,
MIA,,,2023-10-24 13:00,2023-10-24 14:29,2023-10-24 14:29,PHX,2023-10-24 16:01,N/A,N/A,active,89,
MIA,,,2023-10-24 14:30,N/A,N/A,APF,2023-10-24 15:06,N/A,N/A,scheduled,,
MIA,B6,B64065,2023-10-24 14:29,2023-10-24 14:35,2023-10-24 14:35,LGA,2023-10-24 17:30,2023-10-24 17:33,N/A,active,6,3
MIA,AA,AA1344,2023-10-24 14:29,2023-10-24 14:35,2023-10-24 14:35,LGA,2023-10-24 17:30,2023-10-24 17:33,N/A,active,6,3
MIA,LA,LA6603,2023-10-24 14:44,2023-10-24 14:41,2023-10-24 14:41,MSP,2023-10-24 17:33,2023-10-24 17:28,N/A,active,,
MIA,DL,DL1052,2023-10-24 14:44,2023-10-24 14:41,2023-10-24 14:41,MSP,2023-10-24 17:33,2023-10-24 17:28,N/A,active,,
MIA,WS,WS8643,2023-10-24 14:44,2023-10-24 14:41,2023-10-24 14:41,MSP,2023-10-24 17:33,2023-10-24 17:28,N/A,active,,
MIA,KL,KL7441,2023-10-24 14:44,2023-10-24 14:41,2023-10-24 14:41,MSP,2023-10-24 17:33,2023-10-24 17:28,N/A,active,,
MIA,DO,DO906,2023-10-24 15:00,2023-10-24 14:43,2023-10-24 14:43,SDQ,2023-10-24 17:30,N/A,N/A,active,,
MIA,AA,AA612,2023-10-24 14:49,2023-10-24 14:47,2023-10-24 14:47,BOS,2023-10-24 18:06,2023-10-24 18:02,N/A,active,,
MIA,AA,AA1708,2023-10-24 14:45,2023-10-24 14:47,2023-10-24 14:47,EWR,2023-10-24 17:48,2023-10-24 17:51,N/A,active,2,3
MIA,B6,B64029,2023-10-24 14:45,2023-10-24 14:47,2023-10-24 14:47,EWR,2023-10-24 17:48,2023-10-24 17:51,N/A,active,2,3
MIA,B6,B64145,2023-10-24 14:49,2023-10-24 14:47,2023-10-24 14:47,BOS,2023-10-24 18:06,2023-10-24 18:02,N/A,active,,
MIA,QR,QR2459,2023-10-24 14:49,2023-10-24 14:47,2023-10-24 14:47,BOS,2023-10-24 18:06,2023-10-24 18:02,N/A,active,,
MIA,BA,BA4916,2023-10-24 14:49,2023-10-24 14:47,2023-10-24 14:47,BOS,2023-10-24 18:06,2023-10-24 18:02,N/A,active,,
MIA,BA,BA4946,2023-10-24 14:45,2023-10-24 14:47,2023-10-24 14:47,EWR,2023-10-24 17:48,2023-10-24 17:51,N/A,active,2,3
MIA,AA,AA2107,2023-10-24 14:54,2023-10-24 14:49,2023-10-24 14:49,SAV,2023-10-24 16:25,2023-10-24 16:28,N/A,active,,3
MIA,NK,NK3173,2023-10-24 14:58,2023-10-24 14:50,2023-10-24 14:50,LGA,2023-10-24 17:59,N/A,N/A,active,,
MIA,UA,UA2251,2023-10-24 14:55,2023-10-24 14:54,2023-10-24 14:54,IAH,2023-10-24 16:43,2023-10-24 16:33,N/A,active,,
MIA,NZ,NZ6741,2023-10-24 14:55,2023-10-24 14:54,2023-10-24 14:54,IAH,2023-10-24 16:43,2023-10-24 16:33,N/A,active,,
MIA,EK,EK6465,2023-10-24 14:55,2023-10-24 14:54,2023-10-24 14:54,IAH,2023-10-24 16:43,2023-10-24 16:33,N/A,active,,
MIA,SQ,SQ1621,2023-10-24 14:55,2023-10-24 14:54,2023-10-24 14:54,IAH,2023-10-24 16:43,2023-10-24 16:33,N/A,active,,
MIA,BW,BW483,2023-10-24 15:10,2023-10-24 14:55,2023-10-24 14:55,POS,2023-10-24 18:55,2023-10-24 18:35,N/A,active,,
MIA,,,2023-10-24 15:00,N/A,N/A,OPF,N/A,N/A,N/A,scheduled,,
MIA,D5,D51557,2023-10-24 15:00,N/A,N/A,EZE,2023-10-25 00:55,N/A,N/A,scheduled,,
MIA,AA,AA1763,2023-10-24 14:56,2023-10-24 15:05,N/A,RDU,2023-10-24 17:05,2023-10-24 17:18,N/A,scheduled,9,13
MIA,BA,BA5013,2023-10-24 14:56,2023-10-24 15:05,N/A,RDU,2023-10-24 17:05,2023-10-24 17:18,N/A,scheduled,9,13
MIA,IB,IB4134,2023-10-24 15:07,N/A,N/A,PHX,2023-10-24 17:06,2023-10-24 16:56,N/A,scheduled,,
MIA,AA,AA727,2023-10-24 15:07,N/A,N/A,PHX,2023-10-24 17:06,2023-10-24 16:56,N/A,scheduled,,
MIA,AS,AS4549,2023-10-24 15:07,N/A,N/A,PHX,2023-10-24 17:06,2023-10-24 16:56,N/A,scheduled,,
MIA,VS,VS2025,2023-10-24 15:29,2023-10-24 15:19,N/A,MCO,2023-10-24 16:30,2023-10-24 16:23,N/A,scheduled,,
MIA,AR,AR7008,2023-10-24 15:29,2023-10-24 15:19,N/A,MCO,2023-10-24 16:30,2023-10-24 16:23,N/A,scheduled,,
MIA,LA,LA7960,2023-10-24 15:29,2023-10-24 15:19,N/A,MCO,2023-10-24 16:30,2023-10-24 16:23,N/A,scheduled,,
MIA,AM,AM3570,2023-10-24 15:29,2023-10-24 15:19,N/A,MCO,2023-10-24 16:30,2023-10-24 16:23,N/A,scheduled,,
MIA,DL,DL1847,2023-10-24 15:29,2023-10-24 15:19,N/A,MCO,2023-10-24 16:30,2023-10-24 16:23,N/A,scheduled,,
MIA,AA,AA2055,2023-10-24 15:21,N/A,N/A,CLT,2023-10-24 17:29,2023-10-24 17:34,N/A,scheduled,,5
MIA,BA,BA4932,2023-10-24 15:21,N/A,N/A,CLT,2023-10-24 17:29,2023-10-24 17:34,N/A,scheduled,,5
MIA,DL,DL2911,2023-10-24 15:30,2023-10-24 15:25,N/A,LGA,2023-10-24 18:29,2023-10-24 18:31,N/A,scheduled,,2
MIA,TA,TA397,2023-10-24 15:15,2023-10-24 15:25,N/A,MGA,2023-10-24 15:55,N/A,N/A,scheduled,,
MIA,LA,LA6438,2023-10-24 15:30,2023-10-24 15:25,N/A,LGA,2023-10-24 18:29,2023-10-24 18:31,N/A,scheduled,,2
MIA,WS,WS6457,2023-10-24 15:30,2023-10-24 15:25,N/A,LGA,2023-10-24 18:29,2023-10-24 18:31,N/A,scheduled,,2
MIA,KL,KL6457,2023-10-24 15:32,2023-10-24 15:27,N/A,JFK,2023-10-24 18:43,2023-10-24 18:41,N/A,scheduled,,
MIA,DL,DL2088,2023-10-24 15:32,2023-10-24 15:27,N/A,JFK,2023-10-24 18:43,2023-10-24 18:41,N/A,scheduled,,
MIA,AZ,AZ3354,2023-10-24 15:32,2023-10-24 15:27,N/A,JFK,2023-10-24 18:43,2023-10-24 18:41,N/A,scheduled,,
MIA,VS,VS4782,2023-10-24 15:32,2023-10-24 15:27,N/A,JFK,2023-10-24 18:43,2023-10-24 18:41,N/A,scheduled,,
MIA,AR,AR7095,2023-10-24 15:32,2023-10-24 15:27,N/A,JFK,2023-10-24 18:43,2023-10-24 18:41,N/A,scheduled,,
MIA,LA,LA6287,2023-10-24 15:32,2023-10-24 15:27,N/A,JFK,2023-10-24 18:43,2023-10-24 18:41,N/A,scheduled,,
MIA,CI,CI9172,2023-10-24 15:32,2023-10-24 15:27,N/A,JFK,2023-10-24 18:43,2023-10-24 18:41,N/A,scheduled,,
MIA,QT,QT4135,2023-10-24 15:30,N/A,N/A,BOG,2023-10-24 18:12,N/A,N/A,scheduled,,
MIA,IB,IB4471,2023-10-24 15:30,N/A,N/A,DFW,2023-10-24 17:53,2023-10-24 17:50,N/A,scheduled,,
MIA,G3,G36195,2023-10-24 15:30,N/A,N/A,DFW,2023-10-24 17:53,2023-10-24 17:50,N/A,scheduled,,
MIA,GF,GF4332,2023-10-24 15:30,N/A,N/A,DFW,2023-10-24 17:53,2023-10-24 17:50,N/A,scheduled,,
MIA,KX,KX105,2023-10-24 15:30,N/A,N/A,GCM,2023-10-24 16:10,N/A,N/A,scheduled,,
MIA,AA,AA1649,2023-10-24 15:30,N/A,N/A,DFW,2023-10-24 17:53,2023-10-24 17:50,N/A,scheduled,,
MIA,QR,QR2376,2023-10-24 15:30,N/A,N/A,DFW,2023-10-24 17:53,2023-10-24 17:50,N/A,scheduled,,
MIA,AS,AS4502,2023-10-24 15:30,N/A,N/A,DFW,2023-10-24 17:53,2023-10-24 17:50,N/A,scheduled,,
MIA,BA,BA4942,2023-10-24 15:30,N/A,N/A,DFW,2023-10-24 17:53,2023-10-24 17:50,N/A,scheduled,,
MIA,QF,QF3035,2023-10-24 15:32,N/A,N/A,MCO,2023-10-24 16:42,2023-10-24 16:43,N/A,scheduled,,1
MIA,IB,IB4988,2023-10-24 15:32,N/A,N/A,MCO,2023-10-24 16:42,2023-10-24 16:43,N/A,scheduled,,1
MIA,AA,AA457,2023-10-24 15:32,N/A,N/A,MCO,2023-10-24 16:42,2023-10-24 16:43,N/A,scheduled,,1
MIA,MQ,MQ3971,2023-10-24 15:35,N/A,N/A,NAS,2023-10-24 16:34,2023-10-24 16:31,N/A,scheduled,,
MIA,IB,IB4805,2023-10-24 15:35,N/A,N/A,NAS,2023-10-24 16:34,2023-10-24 16:31,N/A,scheduled,,
MIA,AA,AA3971,2023-10-24 15:35,N/A,N/A,NAS,2023-10-24 16:34,2023-10-24 16:31,N/A,scheduled,,
MIA,IB,IB4610,2023-10-24 15:40,N/A,N/A,MAD,2023-10-25 06:05,2023-10-25 05:36,N/A,scheduled,,
MIA,AY,AY4006,2023-10-24 15:40,N/A,N/A,MAD,2023-10-25 06:05,2023-10-25 05:36,N/A,scheduled,,
MIA,AA,AA68,2023-10-24 15:40,N/A,N/A,MAD,2023-10-25 06:05,2023-10-25 05:36,N/A,scheduled,,
MIA,RJ,RJ7033,2023-10-24 15:40,N/A,N/A,MAD,2023-10-25 06:05,2023-10-25 05:36,N/A,scheduled,,
MIA,LY,LY8039,2023-10-24 15:40,N/A,N/A,MAD,2023-10-25 06:05,2023-10-25 05:36,N/A,scheduled,,
MIA,BA,BA1558,2023-10-24 15:40,N/A,N/A,MAD,2023-10-25 06:05,2023-10-25 05:36,N/A,scheduled,,
MIA,CM,CM2853,2023-10-24 15:45,N/A,N/A,DEN,2023-10-24 18:08,N/A,N/A,scheduled,,
MIA,UA,UA576,2023-10-24 15:45,N/A,N/A,DEN,2023-10-24 18:08,N/A,N/A,scheduled,,
MIA,AA,AA1307,2023-10-24 15:47,N/A,N/A,LIM,2023-10-24 20:30,2023-10-24 20:24,N/A,scheduled,,
MIA,AA,AA837,2023-10-24 15:49,N/A,N/A,HAV,2023-10-24 17:05,2023-10-24 17:09,N/A,scheduled,,4
MIA,AA,AA2047,2023-10-24 15:53,N/A,N/A,LGA,2023-10-24 18:55,2023-10-24 19:00,N/A,scheduled,,5
MIA,B6,B64169,2023-10-24 15:53,N/A,N/A,LGA,2023-10-24 18:55,2023-10-24 19:00,N/A,scheduled,,5
MIA,LA,LA1453,2023-10-24 15:43,2023-10-24 15:59,N/A,UIO,2023-10-24 19:03,N/A,N/A,scheduled,,
MIA,XL,XL1453,2023-10-24 15:43,2023-10-24 15:59,N/A,UIO,2023-10-24 19:03,N/A,N/A,scheduled,,
MIA,IB,IB4327,2023-10-24 15:59,N/A,N/A,CUN,2023-10-24 16:50,2023-10-24 16:54,N/A,scheduled,,4
MIA,AA,AA158,2023-10-24 15:59,N/A,N/A,CUN,2023-10-24 16:50,2023-10-24 16:54,N/A,scheduled,,4
MIA,NK,NK1171,2023-10-24 16:00,N/A,N/A,BOS,2023-10-24 19:27,N/A,N/A,scheduled,,
MIA,IB,IB4821,2023-10-24 16:03,N/A,N/A,SDQ,2023-10-24 18:22,2023-10-24 18:21,N/A,scheduled,,
MIA,AA,AA1574,2023-10-24 16:03,N/A,N/A,SDQ,2023-10-24 18:22,2023-10-24 18:21,N/A,scheduled,,
MIA,F9,F92767,2023-10-24 16:10,N/A,N/A,DFW,2023-10-24 18:32,2023-10-24 18:11,N/A,scheduled,,
MIA,AA,AA937,2023-10-24 16:15,N/A,N/A,ATL,2023-10-24 18:11,N/A,N/A,scheduled,,
MIA,BA,BA5031,2023-10-24 16:15,N/A,N/A,ATL,2023-10-24 18:11,N/A,N/A,scheduled,,
MIA,QR,QR7670,2023-10-24 16:15,N/A,N/A,ATL,2023-10-24 18:11,N/A,N/A,scheduled,,
MIA,AA,AA1742,2023-10-24 16:17,N/A,N/A,RDU,2023-10-24 18:26,N/A,N/A,scheduled,,
